Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
White Matt V.C. Soft,5 - 6,White,Untested,Satin matt,Ox or Red,Transparent,Neph Sye	53.80,Barium carbonate	8.60,Gerstley borate	10.80,Lithium carbonate	5.40,Cryolite	5.40,Zinc oxide	2.20,EPK	10.80,Flint	3.20,Tin oxide	2.20,Zircopax	5.40,,,,
White Matte,6,very white,Untested,matt,reduction,,Nepheline syenite	38.70,Wollastonite	15.20,Barium carbonate	15.20,Silica	10.50,EPK	10.20,Gerstley borate	10.20,,,,,,,,
White Matte,6,White,,matt,Oxidation,Opaque,Nepheline syenite	38.70,Wollastonite	15.20,Barium carbonate	15.20,Silica	10.50,EPK	10.20,Gerstley borate	10.20,,,,,,,,
White Opaque (Blue),6,army green/dark blue,,"shiny, gloss",,,Custer feldspar	50.00,Zinc oxide	10.80,Whiting	18.60,EPK	14.70,Silica	5.90,Rutile	3.00,Cobalt carbonate	2.50,,,,,,,
White Ozona,6,stony white,,stony slip or engobe,,,A.P. Green fireclay	70.00,Cedar Heights Goldart	20.00,Ball clay	10.00,,,,,,,,,,,
White Paul's,6,white,,,,Semi-opaque,Gerstley borate	15.70,Talc	8.60,Whiting	12.00,Custer feldspar	43.00,EPK	8.60,Flint	12.10,Zircopax	8.10,,,,,,,
white Satin Matt L. A.,5,White,Untested,Satin Matte,Ox. or Red.,Opaque,Kona F-4 feldspar	60.20,Flint	5.80,Whiting	18.20,Zinc oxide	10.00,EPK	5.80,Opax	4.00,,,,,,,,
White Slip Glaze,2 - 5,white,Untested,,Ox. or Red.,,Kaolin	36.40,Frit 5301	54.50,Zinc oxide	9.10,Bentonite	2.70,,,,,,,,,,
White Super,6,white,Untested,?,oxidation,,Kona F-4 feldspar	55.00,Gerstley borate	10.00,Whiting	8.00,EPK	6.00,Silica	6.00,Superpax	15.00,,,,,,,,
White Super,6,white,Untested,?,oxidation,Opaque,Kona F-4 feldspar	64.70,Gerstley borate	11.80,Whiting	9.40,EPK	7.10,Silica	7.10,Superpax	17.60,,,,,,,,
White Waxy,6,white,,waxy,Ox. or Red.,Translucent,Custer feldspar	43.00,Gerstley borate	15.70,Flint	12.10,Whiting	12.00,Talc	8.60,EPK	8.60,,,,,,,,
White Waxy,6 - 10,very white,Untested,fat waxy satin matt,Ox. or Red.,,Kingman feldspar	41.00,Silica	20.00,Talc	15.00,Gerstley borate	12.00,Dolomite	7.00,EPK	5.00,,,,,,,,
