Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
Crusty Rusty,08 - 06,,Untested,Matt,Ox. or Red.,Opaque,Colemanite	80.00,Bone ash	20.00,Copper carbonate	5.00,Cobalt	2.50,,,,,,,,,,
Del Favero,08 - 06,turquoise to copper penny,Untested,Gloss,Ox. or Red.,,Gerstley borate	80.00,Cornwall Stone	20.00,Copper carbonate	2.00,,,,,,,,,,,
Del Favero,08 - 06,turquoise to copper penny,Untested,,Ox. or Red.,,Gerstley borate	400.00,Cornwall Stone	100.00,Copper carbonate	10.00,,,,,,,,,,,
Dragonfly,08 - 06,,Untested,,Ox. or Red.,,Ferro frit 3134	225.00,Colemanite	200.00,EPK	40.00,Silica	35.00,Copper carbonate	30.00,,,,,,,,,
Dragonfly c08-06,08 - 06,,Untested,,Raku,,Ferro frit 3134	45.00,Colemanite	40.00,EPK	8.00,Silica	7.00,Copper carbonate	6.00,,,,,,,,,
Eggshell Blue Raku,06-04,Mottled blue to gold orange peel,,Gloss,Raku,Semi-opaque,Borax	50.00,Gerstley borate	50.00,Red iron oxide	0.50,Copper carbonate	1.00,Cobalt carbonate	1.60,,,,,,,,,
Faux Celadon,08,greenish blue,,Shiny or Glossy,,,Gerstley borate	75.00,EPK	10.00,Silica	15.00,Red iron oxide	2.00,,,,,,,,,,
Flame Drops,,,,,Raku,,Magnesium carbonate	30.80,Lithium carbonate	15.40,Gerstley borate	53.90,Copper carbonate	4.60,Chromium oxide	0.30,,,,,,,,,
Fools Gold,08 - 06,gold luster,,shiny glossy,,,Ferro frit 3110	49.26,Gerstley borate	19.70,EPK	7.88,Nepheline syenite	21.67,Silver nitrate	1.48,Tin oxide	1.97,Rutile	1.97,Yellow ochre	1.97,,,,,,
GLASS RED,08 - 06,coppery red,Untested,shiny,Raku,,Iron oxide	14.40,Copper Carbonate	10.00	1	13.00,,,,,,,,,,,,
Gun Metal,08 - 06,gun metal gray?,,,,,Gerstley borate	75.00,Nepheline syenite	25.00,Copper carbonate	75.00,Red iron oxide	75.00,,,,,,,,,,
